x: 10, y: 0.000799652 seconds
x: 20, y: 0.00889911 seconds
x: 30, y: 0.0110964 seconds
x: 40, y: 0.0062858 seconds
x: 50, y: 0.0117367 seconds
x: 100, y: 0.0437899 seconds
x: 200, y: 0.263706 seconds
x: 300, y: 0.330624 seconds
x: 400, y: 0.619365 seconds
x: 500, y: 0.987168 seconds
x: 600, y: 1.08563 seconds
x: 700, y: 1.40655 seconds
x: 800, y: 2.77318 seconds
x: 900, y: 4.21182 seconds
x: 1000, y: 4.91321 seconds
x: 1500, y: 8.66841 seconds
x: 2000, y: 17.479 seconds
x: 2500, y: 51.5248 seconds
x: 3000, y: 59.9433 seconds
